gName,fName
Hydrodamalis,DUGONGIDAE
Hydrurga,PHOCIDAE
Hyperoodon,ZIPHIIDAE
Inia,INIIDAE
Lagenodelphis,DELPHINIDAE
Lagenorhynchus,DELPHINIDAE
Leptonychotes,PHOCIDAE
Lissodelphis,DELPHINIDAE
Lobodon,PHOCIDAE
Lontra,MUSTELIDAE
Lutra,MUSTELIDAE
Hydrictis,MUSTELIDAE
Lutrogale,MUSTELIDAE
Martes,MUSTELIDAE
Megaptera,BALAENOPTERIDAE
Melogale,MUSTELIDAE
Mesoplodon,ZIPHIIDAE
Mirounga,PHOCIDAE
Meles,MUSTELIDAE
Orcaella,DELPHINIDAE
Monachus,PHOCIDAE
Neomonachus,PHOCIDAE
Balaenoptera,BALAENOPTERIDAE
Monodon,MONODONTIDAE
Mustela,MUSTELIDAE
Neophoca,OTARIIDAE
Odobenus,ODOBENIDAE
Ommatophoca,PHOCIDAE
Orcinus,DELPHINIDAE
Peponocephala,DELPHINIDAE
Phoca,PHOCIDAE
Phocarctos,OTARIIDAE
Phocoena,PHOCOENIDAE
Phocoenoides,PHOCOENIDAE
Aonyx,MUSTELIDAE
Sotalia,DELPHINIDAE
Pseudorca,DELPHINIDAE
Pteronura,MUSTELIDAE
Neophocaena,PHOCOENIDAE
Sousa,DELPHINIDAE
Arctocephalus,OTARIIDAE
Stenella,DELPHINIDAE
Steno,DELPHINIDAE
Tasmacetus,ZIPHIIDAE
Trichechus,TRICHECHIDAE
Tursiops,DELPHINIDAE
Ziphius,ZIPHIIDAE
Balaena,BALAENIDAE
Berardius,ZIPHIIDAE
Vormela,MUSTELIDAE
Callorhinus,OTARIIDAE
Caperea,NEOBALAENIDAE
Indopacetus,ZIPHIIDAE
Neovison,MUSTELIDAE
Cephalorhynchus,DELPHINIDAE
Pusa,PHOCIDAE
Mellivora,MUSTELIDAE
Galictis,MUSTELIDAE
Eira,MUSTELIDAE
Ictonyx,MUSTELIDAE
Lyncodon,MUSTELIDAE
Poecilogale,MUSTELIDAE
Taxidea,MUSTELIDAE
Otaria,OTARIIDAE
Zalophus,OTARIIDAE
Histriophoca,PHOCIDAE
Pagophilus,PHOCIDAE
Eubalaena,BALAENIDAE
Physeter,PHYSETERIDAE
Cystophora,PHOCIDAE
Delphinapterus,MONODONTIDAE
Dugong,DUGONGIDAE
Enhydra,MUSTELIDAE
Erignathus,PHOCIDAE
Eschrichtius,ESCHRICHTIIDAE
Eumetopias,OTARIIDAE
Feresa,DELPHINIDAE
Globicephala,DELPHINIDAE
Grampus,DELPHINIDAE
Gulo,MUSTELIDAE
Halichoerus,PHOCIDAE
