taxonID,sName,friendlyName,category,gName
10303,gigas,Hydrodamalis gigas,Ex,Hydrodamalis
10303,gigas,Hydrodamalis gigas,EX,Hydrodamalis
10340,leptonyx,Hydrurga leptonyx,LC,Hydrurga
10340,leptonyx,Hydrurga leptonyx,LR/lc,Hydrurga
10707,ampullatus,Hyperoodon ampullatus,LR/cd,Hyperoodon
10707,ampullatus,Hyperoodon ampullatus,V,Hyperoodon
10707,ampullatus,Hyperoodon ampullatus,DD,Hyperoodon
10707,ampullatus,Hyperoodon ampullatus,K,Hyperoodon
10708,planifrons,Hyperoodon planifrons,K,Hyperoodon
10708,planifrons,Hyperoodon planifrons,LC,Hyperoodon
10708,planifrons,Hyperoodon planifrons,LR/cd,Hyperoodon
10831,geoffrensis,Inia geoffrensis,V,Inia
10831,geoffrensis,Inia geoffrensis,DD,Inia
10831,geoffrensis,Inia geoffrensis,VU,Inia
11140,hosei,Lagenodelphis hosei,DD,Lagenodelphis
11140,hosei,Lagenodelphis hosei,K,Lagenodelphis
11140,hosei,Lagenodelphis hosei,LC,Lagenodelphis
11141,acutus,Lagenorhynchus acutus,LR/lc,Lagenorhynchus
11141,acutus,Lagenorhynchus acutus,K,Lagenorhynchus
11141,acutus,Lagenorhynchus acutus,LC,Lagenorhynchus
11142,albirostris,Lagenorhynchus albirostris,LR/lc,Lagenorhynchus
11142,albirostris,Lagenorhynchus albirostris,K,Lagenorhynchus
11142,albirostris,Lagenorhynchus albirostris,LC,Lagenorhynchus
11143,australis,Lagenorhynchus australis,K,Lagenorhynchus
11143,australis,Lagenorhynchus australis,DD,Lagenorhynchus
11144,cruciger,Lagenorhynchus cruciger,K,Lagenorhynchus
11144,cruciger,Lagenorhynchus cruciger,LC,Lagenorhynchus
11144,cruciger,Lagenorhynchus cruciger,LR/lc,Lagenorhynchus
11145,obliquidens,Lagenorhynchus obliquidens,K,Lagenorhynchus
11145,obliquidens,Lagenorhynchus obliquidens,LC,Lagenorhynchus
11145,obliquidens,Lagenorhynchus obliquidens,LR/lc,Lagenorhynchus
11146,obscurus,Lagenorhynchus obscurus,K,Lagenorhynchus
11146,obscurus,Lagenorhynchus obscurus,DD,Lagenorhynchus
11696,weddellii,Leptonychotes weddellii,LC,Leptonychotes
11696,weddellii,Leptonychotes weddellii,LR/lc,Leptonychotes
12125,borealis,Lissodelphis borealis,K,Lissodelphis
12125,borealis,Lissodelphis borealis,LC,Lissodelphis
12125,borealis,Lissodelphis borealis,LR/lc,Lissodelphis
12126,peronii,Lissodelphis peronii,K,Lissodelphis
12126,peronii,Lissodelphis peronii,DD,Lissodelphis
12246,carcinophaga,Lobodon carcinophaga,LC,Lobodon
12246,carcinophaga,Lobodon carcinophaga,LR/lc,Lobodon
12302,canadensis,Lontra canadensis,LR/lc,Lontra
12302,canadensis,Lontra canadensis,LC,Lontra
12303,felina,Lontra felina,EN,Lontra
12303,felina,Lontra felina,V,Lontra
12304,longicaudis,Lontra longicaudis,LR/lc,Lontra
12304,longicaudis,Lontra longicaudis,DD,Lontra
12304,longicaudis,Lontra longicaudis,V,Lontra
12305,provocax,Lontra provocax,VU,Lontra
12305,provocax,Lontra provocax,EN,Lontra
12305,provocax,Lontra provocax,V,Lontra
12305,provocax,Lontra provocax,I,Lontra
12419,lutra,Lutra lutra,NT,Lutra
12419,lutra,Lutra lutra,VU,Lutra
12419,lutra,Lutra lutra,LR/lc,Lutra
12420,maculicollis,Hydrictis maculicollis,VU,Hydrictis
12420,maculicollis,Hydrictis maculicollis,LR/lc,Hydrictis
12420,maculicollis,Hydrictis maculicollis,LC,Hydrictis
12421,sumatrana,Lutra sumatrana,DD,Lutra
12421,sumatrana,Lutra sumatrana,VU,Lutra
12421,sumatrana,Lutra sumatrana,EN,Lutra
12421,sumatrana,Lutra sumatrana,K,Lutra
12427,perspicillata,Lutrogale perspicillata,VU,Lutrogale
12427,perspicillata,Lutrogale perspicillata,K,Lutrogale
12847,gwatkinsii,Martes gwatkinsii,VU,Martes
12847,gwatkinsii,Martes gwatkinsii,I,Martes
12847,gwatkinsii,Martes gwatkinsii,V,Martes
12848,martes,Martes martes,LC,Martes
12848,martes,Martes martes,LR/lc,Martes
13006,novaeangliae,Megaptera novaeangliae,VU,Megaptera
13006,novaeangliae,Megaptera novaeangliae,LC,Megaptera
13006,novaeangliae,Megaptera novaeangliae,V,Megaptera
13006,novaeangliae,Megaptera novaeangliae,E,Megaptera
13110,everetti,Melogale everetti,K,Melogale
13110,everetti,Melogale everetti,DD,Melogale
13110,everetti,Melogale everetti,VU,Melogale
13241,bidens,Mesoplodon bidens,DD,Mesoplodon
13241,bidens,Mesoplodon bidens,K,Mesoplodon
13242,bowdoini,Mesoplodon bowdoini,K,Mesoplodon
